,date of low,low,number of weeks since drop,original closing price,original date,ticker
715,20171110,26.81,2,38.32,20170217,INT
716,20140620,9.01,1,30.47,20171027,SFUN
717,20150904,5.44,2,8.88,20140613,SFUN
718,20160212,4.85,25,5.53,20150821,SFUN
719,20150821,9.59,13,19.73,20140314,DL
720,20150904,9.86,2,16.3,20150522,DL
721,20160610,9.3,2,9.59,20150821,DL
722,20160930,10.31,18,10.31,20160527,DL
723,20151030,28.48,12,62.51,20141212,SSTK
724,20160205,28.67,26,33.65,20150807,SSTK
725,20170825,31.5,3,48.4,20161104,SSTK
726,20150605,8.44,12,34.69,20170804,BBDO
727,20150911,6.39,26,10.73,20150313,BBDO
728,20160108,4.8,12,8.93,20150327,BBDO
729,20160226,5.6,19,6.42,20151016,BBDO
730,20170922,8.2497,18,8.2497,20170519,BBDO
731,20151211,6.27,16,19.23,20150320,MTR
732,20151218,5.7,11,9.55,20150821,MTR
734,20160415,6.27,18,6.27,20151211,MTR
735,20160930,8.34,20,8.57,20160513,MTR
736,20170303,10.15,18,10.15,20161028,MTR
737,20130614,8.05,13,11.25,20170224,NQ
738,20130628,8.22,15,8.22,20130315,NQ
739,20140207,10.63,15,10.63,20131025,NQ
740,20140627,6.07,13,11.33,20131108,NQ
741,20140711,4.39,13,16.83,20140328,NQ
745,20141219,4.09,25,6.07,20140627,NQ
746,20150130,3.43,13,4.58,20140703,NQ
749,20150821,3.28,6,4.09,20141219,NQ
750,20160729,3.21,11,3.96,20150710,NQ
751,20180216,2.1,1,4.05,20160513,NQ
752,20131108,5.85,1,9.78,20140314,ACCO
753,20140207,5.74,14,5.85,20131101,ACCO
754,20170825,12.9,9,14.65,20151224,SCS
755,20161223,9.1,6,13.65,20170623,LDF
756,20160212,7.44,10,8.87,20161111,CEN
757,20160219,8.54,1,9.34,20151204,CEN
758,20130705,1.94,5,7.44,20160212,EBR
759,20130906,2.45,14,2.58,20130531,EBR
760,20170818,4.01,13,4.01,20170519,EBR
761,20180202,5.91,13,5.91,20171103,EBR
762,20131004,32.88,24,35.31,20130419,TU
763,20160226,9.54,6,62.66,20170217,EURN
764,20160708,8.71,25,10.09,20160115,EURN
765,20150130,13.04,10,111.28,20160205,WAIR
766,20170512,8.25,13,13.98,20141121,WAIR
767,20171208,6.75,17,12.95,20170210,WAIR
768,20180202,7.05,25,7.55,20170811,WAIR
769,20140516,8.14,1,9.87,20140321,GTT
